country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Denmark,0.617,0.517,0.376,0.232,0.0995,0.0435,0.026,0.0165,0.0125,0.00995,0.00925,0.00968,0.0089,0.00919,0.00876,0.00755,0.0074,0.00688,0.00684,0.00734,0.00882,0.00815,0.00797,0.00874,0.007,0.00691,0.00666
Djibouti,332,344,358,384,399,414,434,426,420,398,383,366,344,206,108,93.2,30.6,31.3,45.5,20.8,25.9,29.7,36.9,28.7,41.8,43.5,10.5
Dominica,0.00094,0.0005,0.00036,0.00028,0.00023,0.00019,0.00018,0.00018,0.00019,0.0002,0.00022,0.00026,0.00026,0.00027,0.0003,0.00032,0.00034,0.00035,0.0004,0.00042,0.00048,0.00053,0.00067,0.0008,0.00088,0.00076,0.0007
Dominican Republic,40.4,81.4,77.5,44.3,0.027,0.0658,0.00135,0.00743,0.087,1.58,1.34,0.567,0.0013,0.00022,0.00004,0.0002,0.00043,0.00012,0.00056,0.00153,0.00003,0.00758,0.00025,0.00006,0.00023,0.00008,0.00009
Ecuador,131,103,80.1,50.1,28.2,14.7,7.61,3.45,1.54,0.942,0.656,0.502,0.369,0.247,0.213,0.172,0.172,0.203,0.219,0.223,0.234,0.237,0.225,0.213,0.193,0.176,0.17
Egypt,6300,5260,4270,3390,2680,2370,1900,1600,1470,244,213,92.8,73.7,53.6,55.9,68.4,90.8,101,118,23.1,3.57,3.15,5.26,14.1,52.4,92.7,15.4
El Salvador,0.58,0.615,17.6,1.21,0.0683,0.0379,0.025,0.0128,0.00956,0.00742,0.00105,0.024,0.00727,0.00103,0.00018,0.00076,0.00149,0.00046,0.00039,0.00271,0.00003,0.00114,0.0001,0.00004,0.00047,0.00003,0.00032
Equatorial Guinea,495,489,477,463,440,476,417,348,290,253,202,167,132,108,61.8,59.6,22.9,18.5,21.2,30.2,32.5,37.5,32.8,22.1,26.4,30,29.6
Eritrea,3210,2970,2670,2350,2050,1670,1470,1250,1100,961,873,597,422,411,95.8,89.5,141,124,223,487,359,452,282,176,171,180,101
Estonia,0.00326,0.00287,0.0031,0.00276,0.00261,0.00319,0.00207,0.00188,0.0027,0.00209,0.00261,0.0028,0.00205,0.00171,0.00109,0.00094,0.00074,0.0008,0.00084,0.00075,0.00082,0.0005,0.00074,0.00075,0.00079,0.00066,0.00061
Ethiopia,94900,92600,89300,85400,80700,77000,72800,69100,66100,62200,51500,35800,29100,25300,20000,15200,15500,10300,10600,8180,8470,6640,5840,6870,4810,5540,6570
Fiji,66.3,62.7,59.1,57.8,56.5,54.9,53.5,52.3,12.5,9.96,10.6,15.3,26.9,25.1,25.3,25.6,25.1,11,9.72,10.2,11.4,14.9,19.8,17.5,15.6,13.8,12.5
Finland,0.0134,0.0106,0.00834,0.0067,0.00607,0.0055,0.00543,0.00549,0.0053,0.00523,0.00525,0.00531,0.0051,0.00569,0.00691,0.00642,0.00656,0.00585,0.00617,0.00624,0.00547,0.00553,0.00489,0.00395,0.00374,0.00317,0.00313
France,2.7,2.51,2.11,1.81,1.22,0.939,1.19,1.16,1.11,0.895,0.809,0.674,0.563,0.532,0.466,0.387,0.396,0.458,0.489,0.619,0.686,0.661,0.572,0.453,0.47,0.452,0.437
Gabon,138,141,150,165,183,191,207,228,226,235,248,248,248,250,257,60.7,43.2,45.2,29.2,40.5,72.4,69.3,75.9,48,20.7,18.6,21.9
Gambia,487,491,497,503,502,515,498,486,438,384,338,312,284,260,56,43.9,52.8,81.8,76.6,145,154,172,64,75.6,74.2,78.7,101
