country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Honduras,17.3,21,24.7,28.3,31.6,34.5,37.1,39.2,40.8,41.9,42.5,42.8,42.7,29.6,18.4,12.3,7.79,7.83,9.38,8.45,9.67,12.5,14.6,16.8,18.7,21.2,21.6
Hungary,1.25,1.42,1.18,1.54,1.21,1.2,0.998,1.05,0.761,0.813,0.781,0.561,0.569,0.489,0.464,0.404,0.347,0.305,0.237,0.284,0.254,0.247,0.219,0.177,0.211,0.2,0.192
Iceland,0.0336,0.0443,0.0526,0.0596,0.0663,0.0668,0.06,0.0325,0.0258,0.0195,0.0218,0.0197,0.0169,0.0198,0.016,0.0188,0.0181,0.0195,0.0195,0.0169,0.0178,0.0167,0.016,0.0151,0.014,0.0133,0.0126
India,141,277,506,858,1360,2010,2790,3670,4570,5450,6240,6920,7440,7800,7970,7850,7430,6790,6070,5500,5130,4790,4390,4000,3630,3260,2890
Indonesia,1.25,3.5,5.82,8.28,11.2,14.9,19.5,25,31.5,38.6,46.4,55.3,67.1,83.9,106,130,156,181,183,190,212,200,198,201,216,225,227
Iran,0.43,0.482,0.528,0.572,0.617,0.676,0.765,0.899,1.1,1.38,1.75,2.21,2.76,3.33,3.9,4.3,3.28,2.42,1.54,1.31,1.29,0.844,0.54,0.47,0.46,0.325,0.236
Iraq,1.43,1.65,1.88,2.13,2.42,2.74,3.11,3.54,4.08,4.72,5.44,6.21,7.01,7.78,8.6,9.5,10.5,11.7,13.1,14.8,16.8,18.8,21,23.4,26.2,27.8,23.9
Ireland,0.258,0.407,0.663,0.616,0.573,0.732,0.529,0.244,0.236,0.35,0.093,0.149,0.184,0.225,0.163,0.135,0.0931,0.222,0.292,0.232,0.238,0.187,0.161,0.163,0.151,0.143,0.133
Israel,2.56,2.92,2.74,3.16,1.83,2.62,1.66,1.61,1.84,1.97,1.43,1.8,1.55,1.8,1.62,1.8,1.57,1.9,1.72,1.9,1.42,1.97,1.88,1.94,1.65,1.59,1.51
Italy,14.4,19.7,24.4,21.9,25.5,20.9,19.3,12.4,7.18,6.34,5.3,6.95,6.9,6.48,6.82,6.78,6.32,6.41,6.79,6.76,6.15,5.78,6.26,5.37,4.95,4.69,4.4
